Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PPE,Chrome 63.0.3239.132,,2018-01-17 20:31:29,2018-01-17 20:39:30,8m - 0.316s,ERROR
,,,,,,
Test Cases/QUOTE_CREATION,Chrome 63.0.3239.132,Agent Quote process,2018-01-17 20:31:30,2018-01-17 20:33:04,1m - 34.292s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-17 20:31:30,2018-01-17 20:31:37,7.153s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-17 20:31:37,2018-01-17 20:31:39,1.484s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:31:39,2018-01-17 20:31:39,0.356s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:31:39,2018-01-17 20:31:39,0.176s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 20:31:39,2018-01-17 20:31:49,9.964s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:31:49,2018-01-17 20:31:50,0.405s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 20:31:50,2018-01-17 20:32:04,13.969s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-17 20:32:04,2018-01-17 20:32:04,0.078s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-17 20:32:04,2018-01-17 20:32:04,0.242s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:32:04,2018-01-17 20:32:04,0.153s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-17 20:32:04,2018-01-17 20:32:05,0.250s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:32:05,2018-01-17 20:32:05,0.268s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 20:32:05,2018-01-17 20:32:07,2.039s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:32:07,2018-01-17 20:32:07,0.297s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:32:07,2018-01-17 20:32:07,0.135s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 20:32:07,2018-01-17 20:32:07,0.142s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 20:32:07,2018-01-17 20:32:08,1.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 20:32:08,2018-01-17 20:32:16,7.916s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 20:32:16,2018-01-17 20:32:17,1.004s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:32:17,2018-01-17 20:32:18,0.278s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:32:18,2018-01-17 20:32:18,0.348s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 20:32:18,2018-01-17 20:32:28,10.014s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:32:28,2018-01-17 20:32:28,0.361s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 20:32:28,2018-01-17 20:32:38,10.015s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:32:38,2018-01-17 20:32:39,0.200s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 20:32:39,2018-01-17 20:32:49,10.015s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 20:32:49,2018-01-17 20:32:54,5.179s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-17 20:32:54,2018-01-17 20:32:54,0.135s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 20:32:54,2018-01-17 20:32:59,5.009s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 20:32:59,2018-01-17 20:33:04,5.153s,PASSED
,,,,,,
Test Cases/APPLICATION_CREATION,Chrome 63.0.3239.132,,2018-01-17 20:33:04,2018-01-17 20:39:28,6m - 23.909s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:33:04,2018-01-17 20:33:05,0.242s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 20:33:05,2018-01-17 20:33:31,26.042s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:33:31,2018-01-17 20:33:31,0.133s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:33:31,2018-01-17 20:33:31,0.081s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-17 20:33:31,2018-01-17 20:33:31,0.171s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:33:31,2018-01-17 20:33:31,0.117s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:33:31,2018-01-17 20:33:31,0.115s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 20:33:31,2018-01-17 20:33:37,5.239s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 20:33:37,2018-01-17 20:33:38,1.002s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 20:33:38,2018-01-17 20:33:58,20.765s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 20:33:58,2018-01-17 20:34:08,10.016s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 20:34:08,2018-01-17 20:34:08,0.161s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 20:34:08,2018-01-17 20:34:18,10.017s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 20:34:18,2018-01-17 20:34:21,3.007s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 20:34:21,2018-01-17 20:34:22,0.093s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 20:34:22,2018-01-17 20:34:22,0.154s,PASSED
