Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PPE,Chrome 63.0.3239.132,,2018-02-05 16:57:06,2018-02-05 17:07:44,10m - 37.950s,FAILED
,,,,,,
Test Cases/QUOTE_CREATION,Chrome 63.0.3239.132,Agent Quote process,2018-02-05 16:57:06,2018-02-05 16:59:08,2m - 1.534s,PASSED
Statement - propertyDataRowCounter = 0,Chrome 63.0.3239.132,,2018-02-05 16:57:07,2018-02-05 16:57:07,0.001s,PASSED
Statement - configDataRowCounter = 0,Chrome 63.0.3239.132,,2018-02-05 16:57:07,2018-02-05 16:57:07,0.016s,PASSED
Statement - genericDATA = com.kms.katalon.core.testdata.TestDataFactory.findTestData(PPE_Config_File),Chrome 63.0.3239.132,,2018-02-05 16:57:07,2018-02-05 16:57:07,0.033s,PASSED
Statement - propertyDATA = com.kms.katalon.core.testdata.TestDataFactory.findTestData(PPEPROPERTYDATA),Chrome 63.0.3239.132,,2018-02-05 16:57:07,2018-02-05 16:57:07,0.016s,PASSED
Statement - obj = data.get(propertyDataRowCounter),Chrome 63.0.3239.132,,2018-02-05 16:57:07,2018-02-05 16:57:07,0.016s,PASSED
"Statement - obj.toString().replace(""N"", ""Y"")",Chrome 63.0.3239.132,,2018-02-05 16:57:07,2018-02-05 16:57:07,0.000s,PASSED
Statement - data.add(obj),Chrome 63.0.3239.132,,2018-02-05 16:57:07,2018-02-05 16:57:07,0.000s,PASSED
Statement - println(obj),Chrome 63.0.3239.132,,2018-02-05 16:57:07,2018-02-05 16:57:07,0.001s,PASSED
com.PPE.url_Navigation.gotoURL,Chrome 63.0.3239.132,,2018-02-05 16:57:07,2018-02-05 16:57:16,8.894s,PASSED
com.PPE.IncorrectLogin.login,Chrome 63.0.3239.132,,2018-02-05 16:57:16,2018-02-05 16:57:52,36.713s,PASSED
com.PPE.Login.correctlogin,Chrome 63.0.3239.132,,2018-02-05 16:57:52,2018-02-05 16:57:58,6.076s,PASSED
"Statement - If (genericDATA.internallyGetValue(""STATE"", configDataRowCounter) == ""GA"")",Chrome 63.0.3239.132,,2018-02-05 16:57:58,2018-02-05 16:57:59,0.472s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 16:57:59,2018-02-05 16:58:14,14.688s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-02-05 16:58:14,2018-02-05 16:58:14,0.066s,PASSED
com.PPE.QuotePropertyDataSelection.QuoteCreation,Chrome 63.0.3239.132,,2018-02-05 16:58:14,2018-02-05 16:59:08,54.078s,PASSED
,,,,,,
Test Cases/APPLICATION_CREATION,Chrome 63.0.3239.132,,2018-02-05 16:59:08,2018-02-05 17:05:25,6m - 17.506s,PASSED
Statement - propertyDataRowCounter = 0,Chrome 63.0.3239.132,,2018-02-05 16:59:08,2018-02-05 16:59:08,0.001s,PASSED
Statement - configDataRowCounter = 0,Chrome 63.0.3239.132,,2018-02-05 16:59:08,2018-02-05 16:59:08,0.001s,PASSED
Statement - genericDATA = com.kms.katalon.core.testdata.TestDataFactory.findTestData(PPE_Config_File),Chrome 63.0.3239.132,,2018-02-05 16:59:08,2018-02-05 16:59:08,0.006s,PASSED
Statement - propertyDATA = com.kms.katalon.core.testdata.TestDataFactory.findTestData(PPEPROPERTYDATA),Chrome 63.0.3239.132,,2018-02-05 16:59:08,2018-02-05 16:59:08,0.006s,PASSED
Statement - Address = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Endorsement_OR/get_Address),Chrome 63.0.3239.132,,2018-02-05 16:59:08,2018-02-05 16:59:08,0.004s,PASSED
"Statement - propertyaddress = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(Address, ""value"")",Chrome 63.0.3239.132,,2018-02-05 16:59:08,2018-02-05 16:59:08,0.117s,PASSED
Statement - println(propertyaddress),Chrome 63.0.3239.132,,2018-02-05 16:59:08,2018-02-05 16:59:08,0.000s,PASSED
Statement - propertyaddress = propertyaddress,Chrome 63.0.3239.132,,2018-02-05 16:59:08,2018-02-05 16:59:08,0.004s,PASSED
com.PPE.Saving_PolicyHolderInfo_Page.PolicyHolderPage,Chrome 63.0.3239.132,,2018-02-05 16:59:08,2018-02-05 17:00:04,56.169s,PASSED
com.PPE.Saving_PropertyInfo_Page.PropertyPage,Chrome 63.0.3239.132,,2018-02-05 17:00:04,2018-02-05 17:00:36,31.528s,PASSED
com.PPE.Policy_Creation.ApplicationBind,Chrome 63.0.3239.132,,2018-02-05 17:00:36,2018-02-05 17:01:32,55.762s,PASSED
"Statement - otpQuery = ""SELECT TOP 1 OtpGenerated FROM PPE_ApplicationForms_trn where PolicyInfoId = "" + policyInfoId + "" Order BY ModifiedDateTime DESC""",Chrome 63.0.3239.132,,2018-02-05 17:01:32,2018-02-05 17:01:32,0.001s,PASSED
"Statement - println(""otpQuery"" + "" "" + otpQuery)",Chrome 63.0.3239.132,,2018-02-05 17:01:32,2018-02-05 17:01:32,0.001s,PASSED
com.PPE.Database_Connection.connectDB,Chrome 63.0.3239.132,Connect to DB,2018-02-05 17:01:32,2018-02-05 17:01:34,1.833s,PASSED
Statement - recordset = CustomKeywords.com.PPE.Database_Connection.executeQuery(otpQuery),Chrome 63.0.3239.132,ExecQuery,2018-02-05 17:01:34,2018-02-05 17:01:34,0.285s,PASSED
Statement - otp = 0,Chrome 63.0.3239.132,,2018-02-05 17:01:34,2018-02-05 17:01:34,0.000s,PASSED
Statement - While (recordset.next()),Chrome 63.0.3239.132,,2018-02-05 17:01:34,2018-02-05 17:01:34,0.042s,PASSED
"Statement - println(""otp"" + "" "" + otp)",Chrome 63.0.3239.132,,2018-02-05 17:01:34,2018-02-05 17:01:34,0.000s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:01:34,2018-02-05 17:01:44,9.991s,PASSED
Statement - txtOtp = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Application_OR/txtfield-OTP),Chrome 63.0.3239.132,,2018-02-05 17:01:44,2018-02-05 17:01:44,0.004s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-05 17:01:44,2018-02-05 17:01:44,0.161s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:01:44,2018-02-05 17:01:45,1.004s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:01:45,2018-02-05 17:01:45,0.123s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:01:45,2018-02-05 17:01:50,5.014s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:01:50,2018-02-05 17:01:50,0.143s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:01:50,2018-02-05 17:01:52,2.004s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:01:52,2018-02-05 17:01:52,0.089s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:01:52,2018-02-05 17:01:54,1.989s,PASSED
"Statement - If (genericDATA.internallyGetValue(""STATE"", configDataRowCounter) == ""GA"")",Chrome 63.0.3239.132,,2018-02-05 17:01:54,2018-02-05 17:01:55,0.167s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:01:55,2018-02-05 17:01:55,0.100s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:01:55,2018-02-05 17:02:00,5.011s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:02:00,2018-02-05 17:02:01,0.851s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:02:01,2018-02-05 17:02:06,5.011s,PASSED
"Statement - If (genericDATA.internallyGetValue(""STATE"", configDataRowCounter) == ""GA"")",Chrome 63.0.3239.132,,2018-02-05 17:02:06,2018-02-05 17:02:10,4.498s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:02:10,2018-02-05 17:02:15,5.012s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:02:15,2018-02-05 17:02:19,3.880s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:02:19,2018-02-05 17:02:27,8.017s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:02:27,2018-02-05 17:02:28,1.341s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:02:28,2018-02-05 17:02:33,5.012s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-05 17:02:33,2018-02-05 17:02:34,0.207s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-05 17:02:34,2018-02-05 17:02:34,0.169s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:02:34,2018-02-05 17:02:37,2.771s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:02:37,2018-02-05 17:02:42,5.011s,PASSED
"Statement - btnId = ""//*[@id=""btnLoadApplication_"" + policyInfoId + """"]""",Chrome 63.0.3239.132,,2018-02-05 17:02:42,2018-02-05 17:02:42,0.000s,PASSED
Statement - btnViewApplication = new com.kms.katalon.core.testobject.TestObject(btnViewApplication),Chrome 63.0.3239.132,,2018-02-05 17:02:42,2018-02-05 17:02:42,0.005s,PASSED
"Statement - btnViewApplication.addProperty(""xpath"", EQUALS, btnId, true)",Chrome 63.0.3239.132,,2018-02-05 17:02:42,2018-02-05 17:02:42,0.020s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:02:42,2018-02-05 17:03:02,20.025s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:03:02,2018-02-05 17:03:04,2.126s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:03:04,2018-02-05 17:03:12,8.016s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:03:12,2018-02-05 17:03:12,0.164s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:03:12,2018-02-05 17:03:17,5.011s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:03:17,2018-02-05 17:03:18,0.641s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:03:18,2018-02-05 17:03:23,5.011s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-05 17:03:23,2018-02-05 17:03:23,0.231s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:03:23,2018-02-05 17:03:26,3.007s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:03:26,2018-02-05 17:03:26,0.242s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:03:26,2018-02-05 17:03:29,3.007s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-02-05 17:03:29,2018-02-05 17:03:29,0.155s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:03:29,2018-02-05 17:03:32,3.009s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:03:32,2018-02-05 17:03:32,0.219s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:03:32,2018-02-05 17:03:35,3.006s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-05 17:03:35,2018-02-05 17:03:36,0.363s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:03:36,2018-02-05 17:03:39,3.007s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-05 17:03:39,2018-02-05 17:03:39,0.473s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:03:39,2018-02-05 17:03:42,3.007s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-05 17:03:42,2018-02-05 17:03:43,0.340s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:03:43,2018-02-05 17:03:46,3.008s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:03:46,2018-02-05 17:03:46,0.173s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:03:46,2018-02-05 17:03:50,4.014s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:03:50,2018-02-05 17:04:08,18.381s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:04:08,2018-02-05 17:04:12,4.008s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:04:12,2018-02-05 17:04:12,0.167s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:04:12,2018-02-05 17:04:17,5.012s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:04:17,2018-02-05 17:04:18,0.159s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:04:18,2018-02-05 17:04:38,20.036s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:04:38,2018-02-05 17:04:47,9.623s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:04:47,2018-02-05 17:05:02,15.022s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:05:02,2018-02-05 17:05:02,0.108s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:05:02,2018-02-05 17:05:04,2.019s,PASSED
click,Chrome 63.0.3239.132,,2018-02-05 17:05:04,2018-02-05 17:05:05,0.873s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-05 17:05:05,2018-02-05 17:05:25,20.029s,PASSED
,,,,,,
Test Cases/ENDORSEMENT_CREATION,Chrome 63.0.3239.132,,2018-02-05 17:05:25,2018-02-05 17:07:43,2m - 17.272s,FAILED
