Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PPE,Chrome 63.0.3239.132,,2018-01-25 14:47:50,2018-01-25 14:58:15,10m - 25.032s,FAILED
,,,,,,
Test Cases/QUOTE_CREATION,Chrome 63.0.3239.132,Agent Quote process,2018-01-25 14:47:51,2018-01-25 14:49:20,1m - 29.524s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-25 14:47:51,2018-01-25 14:47:59,7.784s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-25 14:47:59,2018-01-25 14:48:00,1.426s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 14:48:00,2018-01-25 14:48:01,0.272s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 14:48:01,2018-01-25 14:48:01,0.231s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 14:48:01,2018-01-25 14:48:10,9.379s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 14:48:10,2018-01-25 14:48:11,0.273s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 14:48:11,2018-01-25 14:48:27,16.917s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-25 14:48:27,2018-01-25 14:48:28,0.097s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-25 14:48:28,2018-01-25 14:48:28,0.350s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 14:48:28,2018-01-25 14:48:28,0.458s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-25 14:48:28,2018-01-25 14:48:29,0.178s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 14:48:29,2018-01-25 14:48:29,0.137s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-25 14:48:29,2018-01-25 14:48:31,2.026s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 14:48:31,2018-01-25 14:48:31,0.235s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 14:48:31,2018-01-25 14:48:31,0.109s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 14:48:31,2018-01-25 14:48:31,0.125s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-25 14:48:31,2018-01-25 14:48:32,1.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 14:48:32,2018-01-25 14:48:53,20.343s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-25 14:48:53,2018-01-25 14:48:54,1.003s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 14:48:54,2018-01-25 14:48:54,0.198s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 14:48:54,2018-01-25 14:48:54,0.323s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-25 14:48:54,2018-01-25 14:48:59,5.007s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 14:48:59,2018-01-25 14:48:59,0.401s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-25 14:48:59,2018-01-25 14:49:04,5.008s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-25 14:49:04,2018-01-25 14:49:05,0.282s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-25 14:49:05,2018-01-25 14:49:15,10.014s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 14:49:15,2018-01-25 14:49:15,0.148s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-25 14:49:15,2018-01-25 14:49:15,0.170s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-25 14:49:15,2018-01-25 14:49:20,5.007s,PASSED
click,Chrome 63.0.3239.132,,2018-01-25 14:49:20,2018-01-25 14:49:20,0.152s,PASSED
,,,,,,
