Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PPE,Chrome 63.0.3239.132,,2018-01-17 17:47:38,2018-01-17 17:50:46,3m - 7.784s,FAILED
,,,,,,
Test Cases/QUOTE_CREATION,Chrome 63.0.3239.132,Agent Quote process,2018-01-17 17:47:38,2018-01-17 17:48:56,1m - 17.846s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-17 17:47:39,2018-01-17 17:47:46,7.105s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-17 17:47:46,2018-01-17 17:47:47,1.459s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:47:47,2018-01-17 17:47:48,0.281s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:47:48,2018-01-17 17:47:48,0.209s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:47:48,2018-01-17 17:47:51,2.645s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:47:51,2018-01-17 17:47:51,0.360s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:47:51,2018-01-17 17:48:02,11.055s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-17 17:48:02,2018-01-17 17:48:02,0.051s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-17 17:48:02,2018-01-17 17:48:02,0.118s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:48:02,2018-01-17 17:48:02,0.167s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-17 17:48:02,2018-01-17 17:48:03,0.348s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:48:03,2018-01-17 17:48:03,0.326s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:48:03,2018-01-17 17:48:05,2.031s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:48:05,2018-01-17 17:48:05,0.246s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:48:05,2018-01-17 17:48:05,0.106s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:48:05,2018-01-17 17:48:06,0.153s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:48:06,2018-01-17 17:48:07,1.004s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:48:07,2018-01-17 17:48:18,11.538s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:48:18,2018-01-17 17:48:19,1.004s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:48:19,2018-01-17 17:48:19,0.239s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:48:19,2018-01-17 17:48:20,0.254s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:48:20,2018-01-17 17:48:30,10.014s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:48:30,2018-01-17 17:48:30,0.383s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:48:30,2018-01-17 17:48:40,10.014s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:48:40,2018-01-17 17:48:40,0.343s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:48:40,2018-01-17 17:48:50,10.014s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:48:50,2018-01-17 17:48:51,0.150s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-17 17:48:51,2018-01-17 17:48:51,0.159s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:48:51,2018-01-17 17:48:56,5.008s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:48:56,2018-01-17 17:48:56,0.233s,PASSED
,,,,,,
Test Cases/APPLICATION_CREATION,Chrome 63.0.3239.132,,2018-01-17 17:48:56,2018-01-17 17:50:44,1m - 48.290s,FAILED
setText,Chrome 63.0.3239.132,,2018-01-17 17:48:56,2018-01-17 17:48:57,0.489s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:48:57,2018-01-17 17:49:08,11.284s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:49:08,2018-01-17 17:49:08,0.238s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:49:08,2018-01-17 17:49:08,0.137s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-17 17:49:08,2018-01-17 17:49:09,0.185s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:49:09,2018-01-17 17:49:09,0.161s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:49:09,2018-01-17 17:49:09,0.101s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:49:09,2018-01-17 17:49:09,0.212s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:49:09,2018-01-17 17:49:10,1.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:49:10,2018-01-17 17:49:44,34.331s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:49:44,2018-01-17 17:49:54,10.014s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:49:54,2018-01-17 17:49:55,0.162s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:49:55,2018-01-17 17:50:05,10.014s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:50:05,2018-01-17 17:50:08,3.007s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:50:08,2018-01-17 17:50:08,0.107s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:50:08,2018-01-17 17:50:08,0.158s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:50:08,2018-01-17 17:50:08,0.141s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:50:08,2018-01-17 17:50:08,0.149s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:50:08,2018-01-17 17:50:08,0.274s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:50:08,2018-01-17 17:50:13,5.010s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:50:13,2018-01-17 17:50:14,0.224s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:50:14,2018-01-17 17:50:19,5.010s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-17 17:50:19,2018-01-17 17:50:19,0.195s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:50:19,2018-01-17 17:50:24,5.009s,PASSED
Statement - hdnPolicyInfoId = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Generic_OR/hdnPolicyInfoId),Chrome 63.0.3239.132,,2018-01-17 17:50:24,2018-01-17 17:50:24,0.005s,PASSED
"Statement - policyInfoid = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(hdnPolicyInfoId, ""value"")",Chrome 63.0.3239.132,,2018-01-17 17:50:24,2018-01-17 17:50:24,0.069s,PASSED
Statement - policyInfoId = policyInfoid,Chrome 63.0.3239.132,,2018-01-17 17:50:24,2018-01-17 17:50:24,0.000s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:50:24,2018-01-17 17:50:24,0.227s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:50:24,2018-01-17 17:50:25,1.006s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:50:25,2018-01-17 17:50:26,0.685s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:50:26,2018-01-17 17:50:29,3.007s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-17 17:50:29,2018-01-17 17:50:29,0.153s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:50:29,2018-01-17 17:50:31,2.005s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-17 17:50:31,2018-01-17 17:50:31,0.158s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:50:31,2018-01-17 17:50:33,2.006s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-17 17:50:33,2018-01-17 17:50:34,0.251s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:50:34,2018-01-17 17:50:39,5.009s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:50:39,2018-01-17 17:50:39,0.181s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-17 17:50:39,2018-01-17 17:50:44,5.009s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:50:44,2018-01-17 17:50:44,0.099s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:50:44,2018-01-17 17:50:44,0.104s,PASSED
click,Chrome 63.0.3239.132,,2018-01-17 17:50:44,2018-01-17 17:50:44,0.397s,FAILED
