Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PPE,,,2018-01-19 14:01:07,2018-01-19 14:01:11,3.192s,FAILED
,,,,,,
Test Cases/QUOTE_CREATION,,Agent Quote process,2018-01-19 14:01:08,2018-01-19 14:01:10,2.105s,FAILED
openBrowser,,,2018-01-19 14:01:09,2018-01-19 14:01:10,1.201s,FAILED
,,,,,,
Test Cases/APPLICATION_CREATION,,,2018-01-19 14:01:10,2018-01-19 14:01:10,0.343s,FAILED
setText,,,2018-01-19 14:01:10,2018-01-19 14:01:10,0.053s,FAILED
,,,,,,
Test Cases/ENDORSEMENT_CREATION,,,2018-01-19 14:01:10,2018-01-19 14:01:10,0.118s,FAILED
click,,,2018-01-19 14:01:10,2018-01-19 14:01:10,0.028s,FAILED
