Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PPE,Chrome 63.0.3239.132,,2018-01-24 20:17:32,2018-01-24 20:22:02,4m - 30.032s,FAILED
,,,,,,
Test Cases/QUOTE_CREATION,Chrome 63.0.3239.132,Agent Quote process,2018-01-24 20:17:33,2018-01-24 20:20:29,2m - 56.785s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-24 20:17:33,2018-01-24 20:17:50,16.783s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-24 20:17:50,2018-01-24 20:17:51,1.450s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-24 20:17:51,2018-01-24 20:17:52,0.290s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-24 20:17:52,2018-01-24 20:17:52,0.233s,PASSED
click,Chrome 63.0.3239.132,,2018-01-24 20:17:52,2018-01-24 20:19:12,1m - 20.320s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-24 20:19:12,2018-01-24 20:19:12,0.364s,PASSED
click,Chrome 63.0.3239.132,,2018-01-24 20:19:12,2018-01-24 20:19:52,39.875s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-24 20:19:52,2018-01-24 20:19:52,0.070s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-24 20:19:52,2018-01-24 20:19:53,0.158s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-24 20:19:53,2018-01-24 20:19:53,0.211s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-24 20:19:53,2018-01-24 20:19:53,0.230s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-24 20:19:53,2018-01-24 20:19:53,0.220s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-24 20:19:53,2018-01-24 20:19:55,2.026s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-24 20:19:55,2018-01-24 20:19:56,0.230s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-24 20:19:56,2018-01-24 20:19:56,0.119s,PASSED
click,Chrome 63.0.3239.132,,2018-01-24 20:19:56,2018-01-24 20:19:56,0.137s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-24 20:19:56,2018-01-24 20:19:57,1.004s,PASSED
click,Chrome 63.0.3239.132,,2018-01-24 20:19:57,2018-01-24 20:20:02,4.803s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-24 20:20:02,2018-01-24 20:20:03,1.007s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-24 20:20:03,2018-01-24 20:20:03,0.207s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-24 20:20:03,2018-01-24 20:20:03,0.292s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-24 20:20:03,2018-01-24 20:20:08,5.009s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-24 20:20:08,2018-01-24 20:20:09,0.438s,PASSED
