Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PPE,Chrome 63.0.3239.132,,2018-02-12 19:11:07,2018-02-12 19:26:07,15m - 0.491s,PASSED
,,,,,,
Test Cases/QUOTE_CREATION,Chrome 63.0.3239.132,Agent Quote process,2018-02-12 19:11:07,2018-02-12 19:12:35,1m - 27.662s,PASSED
Statement - propertyDataRowCounter = 0,Chrome 63.0.3239.132,,2018-02-12 19:11:08,2018-02-12 19:11:08,0.002s,PASSED
Statement - configDataRowCounter = 0,Chrome 63.0.3239.132,,2018-02-12 19:11:08,2018-02-12 19:11:08,0.001s,PASSED
Statement - genericDATA = com.kms.katalon.core.testdata.TestDataFactory.findTestData(PPE_Config_File),Chrome 63.0.3239.132,,2018-02-12 19:11:08,2018-02-12 19:11:08,0.022s,PASSED
Statement - propertyDATA = com.kms.katalon.core.testdata.TestDataFactory.findTestData(PPEPROPERTYDATA),Chrome 63.0.3239.132,,2018-02-12 19:11:08,2018-02-12 19:11:08,0.056s,PASSED
com.PPE.url_Navigation.gotoURL,Chrome 63.0.3239.132,,2018-02-12 19:11:08,2018-02-12 19:11:16,7.949s,PASSED
com.PPE.IncorrectLogin.login,Chrome 63.0.3239.132,,2018-02-12 19:11:16,2018-02-12 19:11:51,35.443s,PASSED
com.PPE.Login.correctlogin,Chrome 63.0.3239.132,,2018-02-12 19:11:51,2018-02-12 19:11:54,2.719s,PASSED
"Statement - If (genericDATA.internallyGetValue(""STATE"", configDataRowCounter) == ""GA"")",Chrome 63.0.3239.132,,2018-02-12 19:11:54,2018-02-12 19:11:55,0.421s,PASSED
click,Chrome 63.0.3239.132,,2018-02-12 19:11:55,2018-02-12 19:12:01,6.405s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-02-12 19:12:01,2018-02-12 19:12:01,0.014s,PASSED
com.PPE.QuotePropertyDataSelection.QuoteCreation,Chrome 63.0.3239.132,,2018-02-12 19:12:01,2018-02-12 19:12:35,33.926s,PASSED
,,,,,,
Test Cases/APPLICATION_CREATION,Chrome 63.0.3239.132,,2018-02-12 19:12:35,2018-02-12 19:19:11,6m - 36.317s,PASSED
Statement - propertyDataRowCounter = 0,Chrome 63.0.3239.132,,2018-02-12 19:12:35,2018-02-12 19:12:35,0.001s,PASSED
Statement - configDataRowCounter = 0,Chrome 63.0.3239.132,,2018-02-12 19:12:35,2018-02-12 19:12:35,0.002s,PASSED
Statement - genericDATA = com.kms.katalon.core.testdata.TestDataFactory.findTestData(PPE_Config_File),Chrome 63.0.3239.132,,2018-02-12 19:12:35,2018-02-12 19:12:35,0.005s,PASSED
Statement - propertyDATA = com.kms.katalon.core.testdata.TestDataFactory.findTestData(PPEPROPERTYDATA),Chrome 63.0.3239.132,,2018-02-12 19:12:35,2018-02-12 19:12:35,0.006s,PASSED
Statement - Address = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Endorsement_OR/get_Address),Chrome 63.0.3239.132,,2018-02-12 19:12:35,2018-02-12 19:12:35,0.004s,PASSED
"Statement - propertyaddress = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(Address, ""value"")",Chrome 63.0.3239.132,,2018-02-12 19:12:35,2018-02-12 19:12:35,0.053s,PASSED
Statement - println(propertyaddress),Chrome 63.0.3239.132,,2018-02-12 19:12:35,2018-02-12 19:12:35,0.003s,PASSED
Statement - propertyaddress = propertyaddress,Chrome 63.0.3239.132,,2018-02-12 19:12:35,2018-02-12 19:12:35,0.002s,PASSED
com.PPE.Saving_PolicyHolderInfo_Page.PolicyHolderPage,Chrome 63.0.3239.132,,2018-02-12 19:12:35,2018-02-12 19:13:20,44.817s,PASSED
com.PPE.Saving_PropertyInfo_Page.PropertyPage,Chrome 63.0.3239.132,,2018-02-12 19:13:20,2018-02-12 19:14:16,56.288s,PASSED
com.PPE.Policy_Creation.ApplicationBind,Chrome 63.0.3239.132,,2018-02-12 19:14:16,2018-02-12 19:15:26,1m - 9.564s,PASSED
"Statement - otpQuery = ""SELECT TOP 1 OtpGenerated FROM PPE_ApplicationForms_trn where PolicyInfoId = "" + policyInfoId + "" Order BY ModifiedDateTime DESC""",Chrome 63.0.3239.132,,2018-02-12 19:15:26,2018-02-12 19:15:26,0.000s,PASSED
"Statement - println(""otpQuery"" + "" "" + otpQuery)",Chrome 63.0.3239.132,,2018-02-12 19:15:26,2018-02-12 19:15:26,0.002s,PASSED
com.PPE.Database_Connection.connectDB,Chrome 63.0.3239.132,Connect to DB,2018-02-12 19:15:26,2018-02-12 19:15:27,1.506s,PASSED
Statement - recordset = CustomKeywords.com.PPE.Database_Connection.executeQuery(otpQuery),Chrome 63.0.3239.132,ExecQuery,2018-02-12 19:15:27,2018-02-12 19:15:28,0.267s,PASSED
Statement - otp = 0,Chrome 63.0.3239.132,,2018-02-12 19:15:28,2018-02-12 19:15:28,0.001s,PASSED
Statement - While (recordset.next()),Chrome 63.0.3239.132,,2018-02-12 19:15:28,2018-02-12 19:15:28,0.044s,PASSED
"Statement - println(""otp"" + "" "" + otp)",Chrome 63.0.3239.132,,2018-02-12 19:15:28,2018-02-12 19:15:28,0.001s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-12 19:15:28,2018-02-12 19:15:38,10.016s,PASSED
Statement - txtOtp = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Application_OR/txtfield-OTP),Chrome 63.0.3239.132,,2018-02-12 19:15:38,2018-02-12 19:15:38,0.004s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-12 19:15:38,2018-02-12 19:15:38,0.147s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-12 19:15:38,2018-02-12 19:15:39,1.002s,PASSED
click,Chrome 63.0.3239.132,,2018-02-12 19:15:39,2018-02-12 19:15:44,5.120s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-12 19:15:44,2018-02-12 19:15:49,5.009s,PASSED
click,Chrome 63.0.3239.132,,2018-02-12 19:15:49,2018-02-12 19:15:54,5.141s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-12 19:15:54,2018-02-12 19:15:56,2.005s,PASSED
click,Chrome 63.0.3239.132,,2018-02-12 19:15:56,2018-02-12 19:16:01,5.112s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-12 19:16:01,2018-02-12 19:16:03,2.004s,PASSED
"Statement - If (genericDATA.internallyGetValue(""STATE"", configDataRowCounter) == ""GA"")",Chrome 63.0.3239.132,,2018-02-12 19:16:03,2018-02-12 19:16:03,0.158s,PASSED
click,Chrome 63.0.3239.132,,2018-02-12 19:16:03,2018-02-12 19:16:09,5.121s,PASSED
delay,Chrome 63.0.3239.132,,2018-02-12 19:16:09,2018-02-12 19:16:14,5.007s,PASSED
