Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PPE,Chrome 63.0.3239.132,,2018-01-18 12:07:11,2018-01-18 12:15:07,7m - 55.983s,ERROR
,,,,,,
Test Cases/QUOTE_CREATION,Chrome 63.0.3239.132,Agent Quote process,2018-01-18 12:07:11,2018-01-18 12:09:07,1m - 55.817s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-01-18 12:07:12,2018-01-18 12:07:19,7.216s,PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-01-18 12:07:19,2018-01-18 12:07:20,1.498s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:07:20,2018-01-18 12:07:21,0.162s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:07:21,2018-01-18 12:07:21,0.166s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:07:21,2018-01-18 12:07:52,31.605s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:07:52,2018-01-18 12:07:53,0.371s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:07:53,2018-01-18 12:08:21,28.150s,PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-01-18 12:08:21,2018-01-18 12:08:21,0.067s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 12:08:21,2018-01-18 12:08:21,0.160s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:08:21,2018-01-18 12:08:21,0.138s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 12:08:21,2018-01-18 12:08:21,0.250s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:08:21,2018-01-18 12:08:22,0.197s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:08:22,2018-01-18 12:08:24,2.027s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:08:24,2018-01-18 12:08:24,0.315s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:08:24,2018-01-18 12:08:24,0.144s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:08:24,2018-01-18 12:08:24,0.165s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:08:24,2018-01-18 12:08:25,1.004s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:08:25,2018-01-18 12:08:29,3.797s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:08:29,2018-01-18 12:08:30,1.003s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:08:30,2018-01-18 12:08:30,0.214s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:08:30,2018-01-18 12:08:31,0.315s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:08:31,2018-01-18 12:08:41,10.015s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:08:41,2018-01-18 12:08:41,0.366s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:08:41,2018-01-18 12:08:51,10.016s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:08:51,2018-01-18 12:08:51,0.334s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:08:51,2018-01-18 12:09:01,10.015s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:09:01,2018-01-18 12:09:02,0.159s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 12:09:02,2018-01-18 12:09:02,0.169s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:09:02,2018-01-18 12:09:07,5.009s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:09:07,2018-01-18 12:09:07,0.216s,PASSED
,,,,,,
Test Cases/APPLICATION_CREATION,Chrome 63.0.3239.132,,2018-01-18 12:09:07,2018-01-18 12:14:58,5m - 51.538s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:09:07,2018-01-18 12:09:08,0.452s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:09:08,2018-01-18 12:09:22,14.312s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:09:22,2018-01-18 12:09:22,0.202s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:09:22,2018-01-18 12:09:22,0.167s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 12:09:22,2018-01-18 12:09:23,0.216s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:09:23,2018-01-18 12:09:23,0.179s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:09:23,2018-01-18 12:09:23,0.134s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:09:23,2018-01-18 12:09:23,0.211s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:09:23,2018-01-18 12:09:24,1.004s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:09:24,2018-01-18 12:09:50,25.778s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:09:50,2018-01-18 12:10:00,10.016s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:10:00,2018-01-18 12:10:00,0.153s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:00,2018-01-18 12:10:10,10.015s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:10,2018-01-18 12:10:13,3.008s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:10:13,2018-01-18 12:10:13,0.119s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:10:13,2018-01-18 12:10:13,0.159s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:10:13,2018-01-18 12:10:14,0.143s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:10:14,2018-01-18 12:10:14,0.140s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:10:14,2018-01-18 12:10:14,0.264s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:14,2018-01-18 12:10:19,5.014s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:10:19,2018-01-18 12:10:19,0.223s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:19,2018-01-18 12:10:24,5.008s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:10:24,2018-01-18 12:10:24,0.198s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:24,2018-01-18 12:10:29,5.010s,PASSED
Statement - hdnPolicyInfoId = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Generic_OR/hdnPolicyInfoId),Chrome 63.0.3239.132,,2018-01-18 12:10:29,2018-01-18 12:10:29,0.005s,PASSED
"Statement - policyInfoid = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(hdnPolicyInfoId, ""value"")",Chrome 63.0.3239.132,,2018-01-18 12:10:29,2018-01-18 12:10:29,0.075s,PASSED
Statement - policyInfoId = policyInfoid,Chrome 63.0.3239.132,,2018-01-18 12:10:29,2018-01-18 12:10:29,0.000s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:10:29,2018-01-18 12:10:30,0.235s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:30,2018-01-18 12:10:31,1.004s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:10:31,2018-01-18 12:10:32,1.122s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:32,2018-01-18 12:10:35,3.006s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 12:10:35,2018-01-18 12:10:35,0.148s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:35,2018-01-18 12:10:37,2.005s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 12:10:37,2018-01-18 12:10:37,0.178s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:37,2018-01-18 12:10:39,2.007s,PASSED
selectOptionByIndex,Chrome 63.0.3239.132,,2018-01-18 12:10:39,2018-01-18 12:10:39,0.186s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:39,2018-01-18 12:10:44,5.007s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:10:44,2018-01-18 12:10:45,0.190s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:45,2018-01-18 12:10:46,1.002s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:10:46,2018-01-18 12:10:46,0.090s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:46,2018-01-18 12:10:47,1.006s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:10:47,2018-01-18 12:10:47,0.088s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:47,2018-01-18 12:10:48,1.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:10:48,2018-01-18 12:10:48,0.123s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:48,2018-01-18 12:10:53,5.008s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:10:53,2018-01-18 12:10:54,1.239s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:54,2018-01-18 12:10:59,5.009s,PASSED
check,Chrome 63.0.3239.132,,2018-01-18 12:10:59,2018-01-18 12:10:59,0.112s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:10:59,2018-01-18 12:11:09,10.015s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:11:09,2018-01-18 12:11:09,0.171s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:11:09,2018-01-18 12:11:14,5.009s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:11:14,2018-01-18 12:11:29,14.618s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:11:29,2018-01-18 12:11:34,5.008s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:11:34,2018-01-18 12:11:34,0.193s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:11:34,2018-01-18 12:11:39,5.008s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:11:39,2018-01-18 12:11:39,0.088s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:11:39,2018-01-18 12:11:44,5.008s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:11:44,2018-01-18 12:11:45,0.238s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:11:45,2018-01-18 12:11:45,0.089s,PASSED
"Statement - otpQuery = ""SELECT TOP 1 OtpGenerated FROM PPE_ApplicationForms_trn where PolicyInfoId = "" + policyInfoId + "" Order BY ModifiedDateTime DESC""",Chrome 63.0.3239.132,,2018-01-18 12:11:45,2018-01-18 12:11:45,0.001s,PASSED
"Statement - println(""otpQuery"" + "" "" + otpQuery)",Chrome 63.0.3239.132,,2018-01-18 12:11:45,2018-01-18 12:11:45,0.005s,PASSED
com.PPE.Database_Connection.connectDB,Chrome 63.0.3239.132,Connect to DB,2018-01-18 12:11:45,2018-01-18 12:11:46,1.630s,PASSED
Statement - recordset = CustomKeywords.com.PPE.Database_Connection.executeQuery(otpQuery),Chrome 63.0.3239.132,ExecQuery,2018-01-18 12:11:46,2018-01-18 12:11:47,0.297s,PASSED
Statement - otp = 0,Chrome 63.0.3239.132,,2018-01-18 12:11:47,2018-01-18 12:11:47,0.000s,PASSED
Statement - While (recordset.next()),Chrome 63.0.3239.132,,2018-01-18 12:11:47,2018-01-18 12:11:47,0.025s,PASSED
"Statement - println(""otp"" + "" "" + otp)",Chrome 63.0.3239.132,,2018-01-18 12:11:47,2018-01-18 12:11:47,0.000s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:11:47,2018-01-18 12:11:57,10.015s,PASSED
Statement - txtOtp = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Application_OR/txtfield-OTP),Chrome 63.0.3239.132,,2018-01-18 12:11:57,2018-01-18 12:11:57,0.005s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:11:57,2018-01-18 12:11:57,0.242s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:11:57,2018-01-18 12:11:58,1.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:11:58,2018-01-18 12:11:58,0.138s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:11:58,2018-01-18 12:12:03,5.009s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:12:03,2018-01-18 12:12:03,0.186s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:12:03,2018-01-18 12:12:05,2.003s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:12:05,2018-01-18 12:12:10,5.100s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:12:10,2018-01-18 12:12:12,2.003s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:12:12,2018-01-18 12:12:12,0.141s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:12:12,2018-01-18 12:12:14,2.004s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:12:14,2018-01-18 12:12:20,5.108s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:12:20,2018-01-18 12:12:25,5.011s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:12:25,2018-01-18 12:12:31,5.976s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:12:31,2018-01-18 12:12:36,5.010s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:12:36,2018-01-18 12:12:36,0.127s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-18 12:12:36,2018-01-18 12:12:36,0.135s,PASSED
delay,Chrome 63.0.3239.132,,2018-01-18 12:12:36,2018-01-18 12:12:41,5.008s,PASSED
click,Chrome 63.0.3239.132,,2018-01-18 12:12:41,2018-01-18 12:12:41,0.185s,PASSED
